Регион;Код;2017;2018;2019;2020;2021;2022;2023
Вологда;194;-466.0;-350.0;;;;;
Череповец;194;-112.0;-218.0;;;;;
Калининградская область;270;2818.0;3123.0;4025.0;4369.0;5427.0;2668.0;2410.0
Ленинградская область;410;11994.0;21607.0;18573.0;15612.0;16750.0;16479.0;11928.0
Мурманская область;470;-2826.0;-2475.0;-3544.0;-2589.0;-2663.0;-2044.0;565.0
Новгородская область;490;-1192.0;-1051.0;-452.0;42.0;-61.0;-219.0;-289.0
Псковская область;580;-906.0;-860.0;-175.0;215.0;-752.0;-981.0;-733.0
Город Санкт-Петербург город федерального значения;400;28310.0;14235.0;13581.0;2859.0;7168.0;4125.0;8334.0
Южный федеральный округ (с 29.07.2016);40;8715.0;15799.0;7867.0;14871.0;14100.0;-183.0;25081.0
Республика Адыгея (Адыгея);790;58.0;923.0;2337.0;1317.0;2460.0;1917.0;1946.0
Республика Калмыкия;850;-1411.0;-1821.0;-1092.0;-606.0;-811.0;-1185.0;275.0
Республика Крым;350;157.0;753.0;1309.0;1892.0;793.0;-1534.0;2329.0
Краснодарский край;300;16640.0;21619.0;11225.0;12489.0;13509.0;5289.0;14934.0
Краснодар;340;7652.0;7171.0;;;;;
Армавир;340;-119.0;-149.0;;;;;
Новороссийск;342;1242.0;918.0;;;;;
Сочи;342;5649.0;6912.0;;;;;
Астраханская область;120;-2018.0;-2551.0;-2154.0;-1634.0;-2045.0;-2646.0;-1635.0
