Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;643;1469636.0;1596106.0;1596106.0;1662511.0;1527775.0;1340448.0;1361650.0;1325655.0;1346833.0
Российская Федерация;643;594686.0;636426.0;636426.0;662895.0;628094.0;548735.0;570477.0;533570.0;540863.0
Российская Федерация;643;1250260.0;1367758.0;1367758.0;1415603.0;1313721.0;1139338.0;1157996.0;1119984.0;1119924.0
Российская Федерация;643;542381.0;584177.0;584177.0;604872.0;578945.0;498076.0;519397.0;486023.0;483383.0
