Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Новороссийск;342;3055.0;2268.0;2065.0;1481.0;-36.0;1756.0;2027.0;527.0;1432.0
Сочи;342;7428.0;6255.0;9434.0;11525.0;1931.0;1873.0;1080.0;-776.0;-2949.0
Астрахань;124;-2441.0;-2074.0;-1044.0;-963.0;-1002.0;-1813.0;-3227.0;-3673.0;-2892.0
Волгоград;184;-718.0;74.0;-2246.0;2086.0;-1672.0;965.0;3775.0;5616.0;-2428.0
Камышин;184;-745.0;-331.0;-190.0;58.0;310.0;-151.0;-601.0;-929.0;536.0
Ростов-на-Дону;604;995.0;2973.0;3178.0;3707.0;2557.0;1405.0;1409.0;383.0;7778.0
Волгодонск;604;-310.0;470.0;-42.0;339.0;-208.0;-304.0;-407.0;-739.0;-656.0
Новочеркасск;604;-2230.0;-1153.0;-165.0;-6.0;683.0;-241.0;-954.0;-1131.0;912.0
Таганрог;604;-1071.0;79.0;390.0;55.0;398.0;389.0;-585.0;-722.0;1836.0
Шахты;604;219.0;-662.0;-740.0;-978.0;-871.0;-390.0;-752.0;-1248.0;-139.0
Город федерального значения Севастополь;670;9950.0;7688.0;5942.0;5220.0;4182.0;8294.0;8748.0;8107.0;5893.0
Махачкала;824;-1343.0;-546.0;-1667.0;-738.0;-2189.0;-2333.0;-3114.0;-2630.0;-3327.0
Дербент;824;-245.0;-233.0;-337.0;57.0;47.0;-179.0;9.0;155.0;131.0
Хасавюрт;824;-224.0;0.0;-159.0;-75.0;84.0;-411.0;-30.0;362.0;284.0
Магас;264;1149.0;1149.0;557.0;438.0;383.0;1048.0;1379.0;1116.0;1255.0
Назрань;264;2212.0;1832.0;1452.0;1071.0;691.0;311.0;-393.0;134.0;948.0
Нальчик;834;-1744.0;-1168.0;-1122.0;-1386.0;-1029.0;-356.0;-768.0;-778.0;-443.0
Черкесск;914;-1321.0;-960.0;-369.0;230.0;229.0;129.0;-504.0;-348.0;-134.0
Владикавказ;904;-2221.0;-1858.0;-2122.0;-2525.0;-2062.0;-1479.0;-1953.0;-2119.0;-937.0
Грозный;964;-1711.0;-835.0;-442.0;-1300.0;-957.0;-538.0;-1907.0;-2155.0;-1988.0
Ставрополь;740;1529.0;1918.0;-1265.0;1972.0;7951.0;4992.0;4238.0;2625.0;7220.0
Невинномысск;742;-183.0;-236.0;151.0;-229.0;-127.0;-449.0;-309.0;-327.0;-502.0
Пятигорск;742;-1053.0;-751.0;-593.0;-419.0;-406.0;-480.0;-172.0;620.0;-692.0
Уфа;804;-221.0;-13.0;1363.0;2667.0;3586.0;592.0;9843.0;5725.0;5820.0
Нефтекамск;804;-40.0;102.0;362.0;963.0;1822.0;1042.0;978.0;820.0;577.0
Стерлитамак;804;-267.0;-287.0;-842.0;-1251.0;-1418.0;-1028.0;1928.0;970.0;1457.0
Йошкар-Ола;884;699.0;750.0;1012.0;2151.0;1925.0;3158.0;3369.0;1947.0;1413.0
Саранск;894;517.0;773.0;-355.0;423.0;521.0;206.0;338.0;-862.0;-375.0
Казань;924;3626.0;5527.0;3482.0;3171.0;1345.0;536.0;57.0;749.0;-262.0
Набережные Челны;924;-1679.0;-915.0;-142.0;-775.0;-1893.0;-1041.0;-2646.0;-1460.0;-1457.0
Ижевск;944;-1457.0;167.0;979.0;495.0;-690.0;503.0;1066.0;338.0;954.0
Чебоксары;974;2845.0;4774.0;242.0;1580.0;65.0;-905.0;1485.0;-160.0;201.0
Пермь;574;2805.0;2336.0;2611.0;2967.0;2608.0;-958.0;-1033.0;-1000.0;2291.0
Березники;574;-1339.0;-1079.0;-1360.0;-1053.0;-1214.0;-705.0;-769.0;-631.0;-464.0
Киров;334;2970.0;3496.0;5919.0;6281.0;6242.0;5086.0;5476.0;4426.0;5266.0
Нижний Новгород;224;-731.0;-3646.0;-3281.0;-497.0;759.0;1060.0;368.0;-607.0;-1386.0
Арзамас;224;-133.0;-265.0;-384.0;-41.0;283.0;91.0;-18.0;-96.0;43.0
Дзержинск;224;-189.0;-257.0;195.0;70.0;192.0;462.0;554.0;158.0;154.0
Оренбург;534;-1193.0;-519.0;-948.0;-265.0;3299.0;2269.0;-86.0;-2513.0;-1963.0
Орск;534;-1364.0;-748.0;-688.0;-562.0;-643.0;-147.0;-201.0;-40.0;187.0
Пенза;564;1778.0;-815.0;449.0;762.0;1082.0;-104.0;-2558.0;-2016.0;-1175.0
Самара;364;-1870.0;-2824.0;-5240.0;-5675.0;-1760.0;-3294.0;-755.0;1.0;-513.0
Сызрань;364;-399.0;-734.0;-931.0;-1473.0;-566.0;-235.0;-303.0;-472.0;-598.0
Тольятти;364;-5106.0;-4331.0;-3608.0;-3837.0;-2057.0;-1047.0;-3497.0;-2837.0;-3231.0
Саратов;634;-338.0;1251.0;1341.0;998.0;-414.0;-918.0;-2202.0;288.0;-406.0
Балаково;634;-935.0;-610.0;-821.0;-501.0;153.0;374.0;474.0;384.0;337.0
Ульяновск;734;685.0;1408.0;1402.0;1126.0;-446.0;416.0;927.0;-789.0;-305.0
Димитровград;734;-730.0;-462.0;-459.0;-399.0;-51.0;-39.0;-168.0;-89.0;-13.0
Курган;374;-1891.0;-4015.0;-4141.0;-1925.0;-1912.0;-844.0;-2278.0;-926.0;-1034.0
Екатеринбург;654;7042.0;2201.0;7414.0;10387.0;-753.0;578.0;-957.0;-5224.0;-5724.0
Каменск-Уральский;654;-423.0;37.0;-384.0;-981.0;-469.0;-545.0;97.0;62.0;121.0
Нижний Тагил;654;-315.0;-330.0;-911.0;-366.0;-1994.0;-1536.0;-709.0;-1369.0;-836.0
Первоуральск;654;-339.0;-427.0;-367.0;-976.0;-771.0;-483.0;-495.0;-346.0;-147.0
Тюмень;714;10068.0;12081.0;12758.0;10374.0;8393.0;6653.0;6745.0;4012.0;1643.0
Ханты-Мансийск;711;31.0;77.0;-551.0;488.0;48.0;-197.0;429.0;-144.0;659.0
Сургут;711;1192.0;4099.0;-354.0;2956.0;451.0;1621.0;1922.0;1651.0;4144.0
Нижневартовск;711;-1698.0;-529.0;-2758.0;-2050.0;-1399.0;-1054.0;-1291.0;-461.0;-288.0
Салехард;711;-536.0;-523.0;151.0;177.0;272.0;-224.0;141.0;-41.0;70.0
Новый Уренгой;711;-1084.0;227.0;-365.0;171.0;-393.0;-1105.0;-833.0;-1121.0;-916.0
Ноябрьск;711;-2006.0;-1525.0;-1322.0;-1937.0;-532.0;323.0;-506.0;-376.0;115.0
Челябинск;754;2599.0;835.0;355.0;-2267.0;-5460.0;-3797.0;-6061.0;-2157.0;-5348.0
Миасс;754;-207.0;52.0;48.0;194.0;514.0;651.0;396.0;281.0;289.0
Горно-Алтайск;844;-19.0;-64.0;-450.0;234.0;162.0;-84.0;-141.0;-395.0;-387.0
Улан-Удэ;814;33.0;-1901.0;848.0;-1184.0;599.0;-1604.0;-1441.0;-1248.0;-484.0
