Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Томск;694;Женщины;Городская местность;11260.0;10869.0;10869.0;10869.0;10869.0;10869.0;10869.0
Дальневосточный федеральный округ;36;Женщины;Городская местность;84126.0;84126.0;84126.0;84126.0;84126.0;84126.0;84126.0
Дальневосточный федеральный округ (с 03.11.2018);42;Женщины;Городская местность;108566.0;108566.0;103817.0;89023.0;94282.0;90281.0;87610.0
Республика Бурятия;810;Женщины;Городская местность;12465.0;12375.0;12798.0;10754.0;11270.0;10570.0;10274.0
Забайкальский край;760;Женщины;Городская местность;10479.0;10819.0;10956.0;8932.0;9345.0;8797.0;8102.0
Республика Саха (Якутия);980;Женщины;Городская местность;14133.0;14360.0;13136.0;11682.0;14835.0;13730.0;14393.0
Камчатский край;300;Женщины;Городская местность;3446.0;3683.0;4001.0;3608.0;3694.0;3658.0;3901.0
Приморский край;500;Женщины;Городская местность;24929.0;26508.0;25015.0;21150.0;21291.0;19752.0;18982.0
Хабаровский край;800;Женщины;Городская местность;18236.0;17231.0;16893.0;13612.0;16164.0;14764.0;14484.0
Амурская область;100;Женщины;Городская местность;8694.0;9180.0;8456.0;8003.0;7205.0;8237.0;6227.0
Магаданская область;440;Женщины;Городская местность;3302.0;3175.0;3021.0;2671.0;2730.0;2647.0;2757.0
Сахалинская область;640;Женщины;Городская местность;7992.0;7845.0;6200.0;5964.0;4738.0;4973.0;5374.0
Еврейская автономная область;990;Женщины;Городская местность;1633.0;1310.0;1291.0;1053.0;1179.0;1206.0;1174.0
Чукотский автономный округ;770;Женщины;Городская местность;1761.0;2080.0;2050.0;1594.0;1831.0;1947.0;1942.0
Энгельс;634;Женщины;Городская местность;2138.0;2138.0;2138.0;2138.0;2138.0;2138.0;2138.0
Северск;695;Женщины;Городская местность;1233.0;1327.0;1327.0;1327.0;1327.0;1327.0;1327.0
Центральный федеральный округ;30;Женщины;Сельская местность;137622.0;148833.0;140126.0;114649.0;123187.0;106031.0;109756.0
Белгородская область;140;Женщины;Сельская местность;8314.0;10029.0;9363.0;7023.0;6184.0;5327.0;7893.0
