Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Республика Коми;87000000000;-3958.0;-3247.0;-3596.0;-3885.0;-2643.0;-2823.0;-3997.0;-2835.0;-2567.0;-2455.0
Архангельская область;11000000000;-6991.0;-5583.0;-4966.0;-5753.0;-4529.0;-4811.0;-6174.0;-4738.0;-4298.0;-4599.0
Ненецкий автономный округ (Архангельская область);11100000000;-195.0;-42.0;-193.0;-268.0;-190.0;-195.0;-201.0;-137.0;91.0;-118.0
Архангельская область (кроме Ненецкого автономного округа);11001000000;-6796.0;-5541.0;-4773.0;-5485.0;-4339.0;-4616.0;-5973.0;-4601.0;-4389.0;-4481.0
Вологодская область;19000000000;-3239.0;-2752.0;-3529.0;-4372.0;-1923.0;-2867.0;-4002.0;-3296.0;-3633.0;-3439.0
Калининградская область;27000000000;2919.0;2792.0;2241.0;1265.0;2143.0;1883.0;3590.0;1794.0;1272.0;969.0
Ленинградская область;41000000000;6771.0;12045.0;23459.0;24372.0;-33565.0;-2878.0;2822.0;7412.0;-4286.0;-41065.0
Мурманская область;47000000000;-537.0;-971.0;-406.0;-672.0;-1050.0;-1275.0;-1125.0;-190.0;-37.0;-154.0
Новгородская область;49000000000;-1280.0;-1622.0;-3518.0;-4673.0;-2881.0;-2893.0;-3559.0;-1994.0;-1748.0;-2199.0
Псковская область;58000000000;-2144.0;-2500.0;-2672.0;-3614.0;-1396.0;-2309.0;-3454.0;-2486.0;-1527.0;-1892.0
Город Санкт-Петербург город федерального значения;40000000000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Южный федеральный округ (с 29.07.2016);040;19907.0;9160.0;-6923.0;-7979.0;1655.0;-13248.0;-23069.0;-30185.0;-14408.0;-19215.0
Республика Адыгея (Адыгея);79000000000;2445.0;2879.0;2644.0;3078.0;5467.0;3168.0;4675.0;2191.0;2940.0;749.0
Республика Калмыкия;85000000000;-1364.0;-819.0;-1597.0;-2000.0;-1828.0;-1439.0;-2181.0;-1574.0;1282.0;94.0
Республика Крым;35000000000;8296.0;3629.0;3562.0;1266.0;3731.0;828.0;1794.0;-4013.0;-1882.0;-1641.0
Краснодарский край;03000000000;13852.0;10374.0;-508.0;3797.0;2421.0;-9437.0;-16774.0;-15198.0;-2748.0;-3076.0
Астраханская область;12000000000;200.0;1372.0;-936.0;-1668.0;-1420.0;-498.0;204.0;-410.0;118.0;381.0
Волгоградская область;18000000000;-4932.0;-4925.0;-5776.0;-6057.0;-6730.0;-5874.0;-9639.0;-7820.0;-6060.0;-7289.0
Ростовская область;60000000000;-1721.0;-3966.0;-5995.0;-8103.0;-1448.0;-1953.0;-2385.0;-3077.0;-7683.0;-8436.0
Город федерального значения Севастополь;67000000000;3131.0;616.0;1683.0;1708.0;1462.0;1957.0;1237.0;-284.0;-375.0;3.0
Северо-Кавказский федеральный округ;038;24853.0;22959.0;21258.0;13997.0;16610.0;15854.0;12984.0;20893.0;-9265.0;-83867.0
Республика Дагестан;82000000000;12804.0;13827.0;13036.0;11520.0;13739.0;14685.0;13571.0;13650.0;12761.0;14535.0
Республика Ингушетия;26000000000;-3770.0;-3769.0;-2305.0;-1893.0;-1888.0;-1869.0;-1823.0;3400.0;2817.0;3331.0
Кабардино-Балкарская Республика;83000000000;4664.0;4640.0;3989.0;3884.0;3947.0;3069.0;2922.0;729.0;1593.0;2148.0
Карачаево-Черкесская Республика;91000000000;452.0;386.0;1306.0;205.0;842.0;427.0;-179.0;-538.0;-268.0;-92.0
Республика Северная Осетия-Алания;90000000000;-279.0;-119.0;-354.0;-955.0;-543.0;-537.0;-824.0;-1551.0;-1365.0;-395.0
Чеченская Республика;96000000000;11162.0;8276.0;8167.0;8142.0;7476.0;7073.0;7949.0;11648.0;-17930.0;-98736.0
Ставропольский край;07000000000;-180.0;-282.0;-2581.0;-6906.0;-6963.0;-6994.0;-8632.0;-6445.0;-6873.0;-4658.0
Приволжский федеральный округ;033;-42937.0;-47527.0;-58215.0;-79420.0;-60001.0;-81637.0;-94865.0;-83164.0;-66778.0;-71336.0
Республика Башкортостан;80000000000;2168.0;-248.0;-1160.0;-5557.0;-8259.0;-7902.0;-12581.0;-17063.0;-15298.0;-17242.0
Республика Марий Эл;88000000000;-3105.0;-2558.0;-3228.0;-4187.0;-3238.0;-4326.0;-4959.0;-3308.0;-2849.0;-2515.0
Республика Мордовия;89000000000;-3564.0;-2802.0;-3233.0;-4884.0;-3630.0;-3755.0;-4353.0;-4733.0;-3100.0;-4102.0
Республика Татарстан (Татарстан);92000000000;572.0;-163.0;-1962.0;-464.0;3006.0;1346.0;2445.0;1100.0;3584.0;2387.0
Удмуртская Республика;94000000000;-2787.0;-2726.0;-3963.0;-6031.0;-4798.0;-5133.0;-4329.0;-2971.0;-2767.0;-1824.0
Чувашская Республика - Чувашия;97000000000;-7997.0;-9467.0;-7244.0;-9752.0;-7095.0;-7055.0;-10071.0;-7120.0;-4901.0;-6393.0
Пермский край;57000000000;-2088.0;-3175.0;-2973.0;-4454.0;-3445.0;-3825.0;-4452.0;-4317.0;-6028.0;-5401.0
Кировская область;33000000000;-6620.0;-7002.0;-8319.0;-9760.0;-8657.0;-8897.0;-9538.0;-6839.0;-5945.0;-4600.0
Нижегородская область;22000000000;-4757.0;-3552.0;-4109.0;-5673.0;-6928.0;-10050.0;-10873.0;-7373.0;-5479.0;-5203.0
Оренбургская область;53000000000;-3069.0;-2785.0;-6315.0;-8740.0;-8668.0;-8915.0;-11096.0;-7899.0;-7214.0;-6740.0
Пензенская область;56000000000;-4113.0;-2693.0;-4833.0;-6539.0;-6987.0;-6795.0;-5917.0;-5061.0;-4285.0;-5353.0
Самарская область;36000000000;3865.0;3008.0;2786.0;3082.0;1337.0;-1943.0;-1635.0;-1793.0;424.0;-1220.0
Саратовская область;63000000000;-6404.0;-7798.0;-7906.0;-9991.0;2932.0;-7866.0;-9976.0;-10752.0;-8928.0;-8124.0
Ульяновская область;73000000000;-5038.0;-5566.0;-5756.0;-6470.0;-5571.0;-6521.0;-7530.0;-5035.0;-3992.0;-5006.0
Уральский федеральный округ;034;-12080.0;-14983.0;-20519.0;-22497.0;-11657.0;-21394.0;-23436.0;-13648.0;-6874.0;-7644.0
Курганская область;37000000000;-7361.0;-5005.0;-5900.0;-8679.0;-5654.0;-6396.0;-8697.0;-5524.0;-4393.0;-4974.0
Свердловская область;65000000000;-8769.0;-8622.0;-9413.0;-11131.0;-6170.0;-9021.0;-10341.0;-5120.0;-3693.0;-2864.0
Тюменская область;71000000000;4863.0;-621.0;-1053.0;756.0;554.0;-1711.0;-1833.0;-1186.0;28.0;1412.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);71100000000;859.0;1026.0;1535.0;91.0;747.0;290.0;223.0;-1213.0;223.0;408.0
Ямало-Ненецкий автономный округ (Тюменская область);71140000000;-485.0;-224.0;-227.0;69.0;-54.0;312.0;-230.0;81.0;-1864.0;673.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);71001000000;4489.0;-1423.0;-2361.0;596.0;-139.0;-2313.0;-1826.0;-54.0;1669.0;331.0
Челябинская область;75000000000;-813.0;-735.0;-4153.0;-3443.0;-387.0;-4266.0;-2565.0;-1818.0;1184.0;-1218.0
Сибирский федеральный округ;035;;;-30810.0;;;;;;;
Сибирский федеральный округ (с 03.11.2018);041;-30759.0;-27057.0;-31659.0;-40905.0;-32544.0;-41125.0;-58588.0;-37073.0;-32096.0;-36882.0
Республика Алтай;84000000000;-104.0;367.0;119.0;-886.0;-335.0;-293.0;-441.0;367.0;445.0;-10.0
Республика Тыва;93000000000;91.0;2091.0;1894.0;1121.0;1262.0;1941.0;16.0;-1167.0;-1413.0;-933.0
Республика Хакасия;95000000000;-213.0;-195.0;-526.0;-928.0;-400.0;-469.0;-1143.0;-1785.0;-1886.0;-601.0
Алтайский край;01000000000;-13697.0;-13197.0;-16487.0;-19446.0;-18572.0;-20189.0;-23733.0;-11751.0;-10038.0;-11863.0
Красноярский край;04000000000;-6122.0;-6799.0;-6383.0;-6877.0;-6258.0;-6765.0;-10615.0;-7021.0;-4969.0;-6850.0
Иркутская область;25000000000;2778.0;4634.0;5191.0;3209.0;3736.0;340.0;-867.0;-1772.0;-674.0;-535.0
Кемеровская область - Кузбасс;32000000000;-3868.0;-4518.0;-6388.0;-5977.0;-4036.0;-4743.0;-5670.0;-3171.0;-3331.0;-4164.0
Новосибирская область;50000000000;-3131.0;-2057.0;-1773.0;-1781.0;-1901.0;-4418.0;-4637.0;-1897.0;-2399.0;-3199.0
Омская область;52000000000;-5338.0;-6996.0;-6924.0;-8704.0;-8274.0;-8143.0;-10048.0;-7157.0;-6658.0;-7050.0
Томская область;69000000000;-1155.0;-387.0;-382.0;-636.0;2234.0;1614.0;-1450.0;-1719.0;-1173.0;-1677.0
Дальневосточный федеральный округ;036;;;-10724.0;;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);042;-19366.0;-15526.0;-18941.0;-23210.0;-19515.0;-17937.0;-29311.0;-21519.0;-18417.0;-6186.0
Республика Бурятия;81000000000;1317.0;2049.0;-772.0;-785.0;-301.0;913.0;-1012.0;-776.0;-1183.0;836.0
Забайкальский край;76000000000;-5933.0;-5806.0;-5131.0;-5471.0;-6249.0;-4817.0;-7738.0;-5180.0;-5200.0;-2449.0
Республика Саха (Якутия);98000000000;36.0;633.0;-642.0;-1601.0;-109.0;1639.0;-2943.0;-2124.0;-2624.0;-1003.0
Камчатский край;30000000000;-1141.0;-882.0;-302.0;-653.0;-453.0;-869.0;-619.0;-922.0;-602.0;-773.0
Приморский край;05000000000;-5139.0;-4818.0;-5372.0;-7108.0;-5353.0;-6032.0;-6902.0;-3871.0;-2927.0;-3442.0
Хабаровский край;08000000000;-3173.0;-2178.0;-2418.0;-1911.0;-2253.0;-3642.0;-2443.0;-2043.0;-1104.0;-991.0
Амурская область;10000000000;-1785.0;-1330.0;-1871.0;-3067.0;-2872.0;-3658.0;-4701.0;-3927.0;-3018.0;3172.0
Магаданская область;44000000000;-114.0;-220.0;-263.0;-301.0;-230.0;-5.0;-45.0;-220.0;9.0;-102.0
Сахалинская область;64000000000;-1254.0;-1400.0;-576.0;-1146.0;-960.0;-1066.0;-1738.0;-1630.0;-1162.0;-632.0
Еврейская автономная область;99000000000;-1704.0;-1163.0;-1325.0;-1177.0;-649.0;-427.0;-1019.0;-672.0;-524.0;-584.0
Чукотский автономный округ;77000000000;-476.0;-411.0;-269.0;10.0;-86.0;27.0;-151.0;-154.0;-82.0;-218.0
Российская Федерация без учета новых субъектов (с 01.01.2023);643004.АГ;;;;;;;;;-168012.0;-299721.0
