Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Таганрог;604;4565.0;4752.0;5151.0;5313.0;5427.0;5107.0;4275.0;4131.0;6536.0
Шахты;604;4413.0;3603.0;3197.0;2790.0;2514.0;2574.0;2291.0;1990.0;3091.0
Город федерального значения Севастополь;670;16889.0;17200.0;16471.0;17461.0;16409.0;21925.0;23994.0;24034.0;22748.0
Махачкала;824;6787.0;6678.0;6320.0;6643.0;5711.0;3772.0;3309.0;3891.0;3352.0
Дербент;824;2450.0;2323.0;2747.0;2858.0;2789.0;2174.0;2292.0;2464.0;2563.0
Хасавюрт;824;1579.0;1709.0;1520.0;1563.0;1665.0;1057.0;1290.0;1711.0;1737.0
Магас;264;;2406.0;2154.0;2276.0;2102.0;1491.0;1781.0;1812.0;1593.0
Назрань;264;3697.0;;;;;1878.0;1438.0;1895.0;2436.0
Нальчик;834;2582.0;2696.0;2818.0;2723.0;2429.0;2299.0;1805.0;1946.0;1968.0
Черкесск;914;2130.0;2257.0;2440.0;3125.0;3266.0;2988.0;2741.0;2729.0;2901.0
Владикавказ;904;4520.0;4298.0;4363.0;3977.0;3486.0;2801.0;2090.0;2382.0;2891.0
Грозный;964;5037.0;5418.0;5303.0;4770.0;4330.0;3747.0;3356.0;3180.0;2832.0
Ставрополь;740;14309.0;13755.0;10796.0;13916.0;19968.0;15907.0;15100.0;12610.0;17246.0
Невинномысск;742;3370.0;3196.0;3283.0;3229.0;3031.0;2129.0;2151.0;2110.0;1678.0
Пятигорск;742;3489.0;3373.0;2989.0;3304.0;3080.0;2493.0;2771.0;3354.0;2532.0
Уфа;804;27982.0;29127.0;28670.0;31435.0;31226.0;24467.0;33732.0;29761.0;30520.0
Нефтекамск;804;4190.0;4284.0;4589.0;4940.0;5218.0;4254.0;4646.0;4072.0;4395.0
Стерлитамак;804;6441.0;6608.0;5936.0;6064.0;5339.0;4911.0;8631.0;7656.0;7616.0
Йошкар-Ола;884;8479.0;8566.0;8781.0;9205.0;9007.0;9033.0;9108.0;7978.0;7308.0
Саранск;894;6429.0;6545.0;6500.0;7411.0;7186.0;5729.0;6156.0;5244.0;5451.0
Казань;924;23643.0;25774.0;25116.0;25664.0;22699.0;20772.0;21995.0;19596.0;19709.0
Набережные Челны;924;7683.0;8236.0;8606.0;9006.0;6577.0;6680.0;6703.0;6329.0;6594.0
Ижевск;944;14094.0;15198.0;15283.0;15093.0;12357.0;11972.0;13091.0;12749.0;12664.0
Чебоксары;974;15687.0;18668.0;15233.0;16959.0;13832.0;11415.0;12747.0;10762.0;10873.0
Пермь;574;22758.0;24330.0;25816.0;27310.0;25005.0;19166.0;19506.0;17723.0;19093.0
Березники;574;1662.0;2037.0;1784.0;2063.0;1143.0;1054.0;998.0;996.0;1066.0
Киров;334;16177.0;15988.0;18289.0;19877.0;19262.0;15742.0;15918.0;15385.0;16063.0
Нижний Новгород;224;20400.0;19646.0;18408.0;21561.0;20439.0;17449.0;16040.0;14182.0;12714.0
Арзамас;224;1052.0;1130.0;1083.0;1307.0;1569.0;1222.0;1356.0;1262.0;1184.0
Дзержинск;224;3039.0;3228.0;3517.0;3429.0;3412.0;3320.0;3232.0;2900.0;2677.0
Оренбург;534;11557.0;11843.0;11132.0;10857.0;13478.0;10974.0;10174.0;7998.0;7339.0
Орск;534;4196.0;4451.0;4483.0;4665.0;4325.0;3974.0;3795.0;3861.0;3686.0
Пенза;564;11322.0;9395.0;10383.0;10477.0;9707.0;6510.0;4445.0;4613.0;5138.0
Самара;364;17093.0;17163.0;14721.0;16446.0;17468.0;13573.0;16139.0;15531.0;14327.0
Сызрань;364;2663.0;2226.0;2161.0;2064.0;2510.0;2362.0;2155.0;2087.0;1648.0
Тольятти;364;10668.0;10962.0;10943.0;11674.0;10799.0;9510.0;8786.0;8108.0;7725.0
Саратов;634;16604.0;17611.0;18017.0;18146.0;15911.0;12620.0;10958.0;12552.0;11455.0
Балаково;634;3119.0;3010.0;2921.0;3163.0;3516.0;3335.0;3338.0;3219.0;2951.0
Ульяновск;734;11627.0;12599.0;12545.0;12971.0;10346.0;9399.0;9836.0;7885.0;7474.0
Димитровград;734;1964.0;1947.0;1983.0;2178.0;1961.0;1697.0;1782.0;1600.0;1653.0
Курган;374;6856.0;5041.0;4843.0;7034.0;6233.0;6242.0;5054.0;5220.0;4915.0
Екатеринбург;654;41942.0;39641.0;43233.0;46153.0;33419.0;29623.0;27059.0;20687.0;17367.0
Каменск-Уральский;654;2718.0;3017.0;2823.0;2447.0;2459.0;2212.0;2503.0;2206.0;2143.0
Нижний Тагил;654;4634.0;4742.0;4744.0;5215.0;3451.0;2833.0;3340.0;2600.0;2608.0
Первоуральск;654;1670.0;1518.0;1491.0;1131.0;906.0;871.0;833.0;820.0;1048.0
