Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Шахты;604;4194.0;4265.0;3937.0;3768.0;3385.0;2964.0;3043.0;3238.0;3230.0
Город федерального значения Севастополь;670;6939.0;9512.0;10529.0;12241.0;12227.0;13631.0;15246.0;15927.0;16855.0
Махачкала;824;8130.0;7224.0;7987.0;7381.0;7900.0;6105.0;6423.0;6521.0;6679.0
Дербент;824;2695.0;2556.0;3084.0;2801.0;2742.0;2353.0;2283.0;2309.0;2432.0
Хасавюрт;824;1803.0;1709.0;1679.0;1638.0;1581.0;1468.0;1320.0;1349.0;1453.0
Магас;264;;1257.0;1597.0;1838.0;1719.0;443.0;402.0;696.0;338.0
Назрань;264;1485.0;;;;;1567.0;1831.0;1761.0;1488.0
Нальчик;834;4326.0;3864.0;3940.0;4109.0;3458.0;2655.0;2573.0;2724.0;2411.0
Черкесск;914;3451.0;3217.0;2809.0;2895.0;3037.0;2859.0;3245.0;3077.0;3035.0
Владикавказ;904;6741.0;6156.0;6485.0;6502.0;5548.0;4280.0;4043.0;4501.0;3828.0
Грозный;964;6748.0;6253.0;5745.0;6070.0;5287.0;4285.0;5263.0;5335.0;4820.0
Ставрополь;740;12780.0;11837.0;12061.0;11944.0;12017.0;10915.0;10862.0;9985.0;10026.0
Невинномысск;742;3553.0;3432.0;3132.0;3458.0;3158.0;2578.0;2460.0;2437.0;2180.0
Пятигорск;742;4542.0;4124.0;3582.0;3723.0;3486.0;2973.0;2943.0;2734.0;3224.0
Уфа;804;28203.0;29140.0;27307.0;28768.0;27640.0;23875.0;23889.0;24036.0;24700.0
Нефтекамск;804;4230.0;4182.0;4227.0;3977.0;3396.0;3212.0;3668.0;3252.0;3818.0
Стерлитамак;804;6708.0;6895.0;6778.0;7315.0;6757.0;5939.0;6703.0;6686.0;6159.0
Йошкар-Ола;884;7780.0;7816.0;7769.0;7054.0;7082.0;5875.0;5739.0;6031.0;5895.0
Саранск;894;5912.0;5772.0;6855.0;6988.0;6665.0;5523.0;5818.0;6106.0;5826.0
Казань;924;20017.0;20247.0;21634.0;22493.0;21354.0;20236.0;21938.0;18847.0;19971.0
Набережные Челны;924;9362.0;9151.0;8748.0;9781.0;8470.0;7721.0;9349.0;7789.0;8051.0
Ижевск;944;15551.0;15031.0;14304.0;14598.0;13047.0;11469.0;12025.0;12411.0;11710.0
Чебоксары;974;12842.0;13894.0;14991.0;15379.0;13767.0;12320.0;11262.0;10922.0;10672.0
Пермь;574;19953.0;21994.0;23205.0;24343.0;22397.0;20124.0;20539.0;18723.0;16802.0
Березники;574;3001.0;3116.0;3144.0;3116.0;2357.0;1759.0;1767.0;1627.0;1530.0
Киров;334;13207.0;12492.0;12370.0;13596.0;13020.0;10656.0;10442.0;10959.0;10797.0
Нижний Новгород;224;21131.0;23292.0;21689.0;22058.0;19680.0;16389.0;15672.0;14789.0;14100.0
Арзамас;224;1185.0;1395.0;1467.0;1348.0;1286.0;1131.0;1374.0;1358.0;1141.0
Дзержинск;224;3228.0;3485.0;3322.0;3359.0;3220.0;2858.0;2678.0;2742.0;2523.0
Оренбург;534;12750.0;12362.0;12080.0;11122.0;10179.0;8705.0;10260.0;10511.0;9302.0
Орск;534;5560.0;5199.0;5171.0;5227.0;4968.0;4121.0;3996.0;3901.0;3499.0
Пенза;564;9544.0;10210.0;9934.0;9715.0;8625.0;6614.0;7003.0;6629.0;6313.0
Самара;364;18963.0;19987.0;19961.0;22121.0;19228.0;16867.0;16894.0;15530.0;14840.0
Сызрань;364;3062.0;2960.0;3092.0;3537.0;3076.0;2597.0;2458.0;2559.0;2246.0
Тольятти;364;15774.0;15293.0;14551.0;15511.0;12856.0;10557.0;12283.0;10945.0;10956.0
Саратов;634;16942.0;16360.0;16676.0;17148.0;16325.0;13538.0;13160.0;12264.0;11861.0
Балаково;634;4054.0;3620.0;3742.0;3664.0;3363.0;2961.0;2864.0;2835.0;2614.0
Ульяновск;734;10942.0;11191.0;11143.0;11845.0;10792.0;8983.0;8909.0;8674.0;7779.0
Димитровград;734;2694.0;2409.0;2442.0;2577.0;2012.0;1736.0;1950.0;1689.0;1666.0
Курган;374;8747.0;9056.0;8984.0;8959.0;8145.0;7086.0;7332.0;6146.0;5949.0
Екатеринбург;654;34900.0;37440.0;35819.0;35766.0;34172.0;29045.0;28016.0;25911.0;23091.0
Каменск-Уральский;654;3141.0;2980.0;3207.0;3428.0;2928.0;2757.0;2406.0;2144.0;2022.0
Нижний Тагил;654;4949.0;5072.0;5655.0;5581.0;5445.0;4369.0;4049.0;3969.0;3444.0
Первоуральск;654;2009.0;1945.0;1858.0;2107.0;1677.0;1354.0;1328.0;1166.0;1195.0
Тюмень;714;17741.0;18680.0;19126.0;21711.0;20008.0;18551.0;18945.0;18586.0;17962.0
Ханты-Мансийск;711;5409.0;5868.0;5453.0;5017.0;4586.0;4087.0;4102.0;3978.0;3423.0
Сургут;711;15090.0;13391.0;14137.0;13285.0;12923.0;10848.0;12000.0;11636.0;11587.0
Нижневартовск;711;12844.0;12854.0;12823.0;11708.0;10304.0;8950.0;9173.0;8345.0;7874.0
Салехард;711;2917.0;2931.0;2592.0;2817.0;2520.0;2409.0;2330.0;2207.0;1986.0
Новый Уренгой;711;9682.0;9062.0;8919.0;8437.0;7315.0;5878.0;5574.0;5157.0;4554.0
Ноябрьск;711;6431.0;6631.0;6176.0;6194.0;5037.0;4459.0;5237.0;4366.0;3737.0
Челябинск;754;23059.0;25303.0;25664.0;27452.0;26007.0;21973.0;23240.0;20305.0;20379.0
Миасс;754;3029.0;2966.0;2942.0;3119.0;2881.0;2618.0;2665.0;2541.0;2446.0
Горно-Алтайск;844;3820.0;3797.0;3969.0;3519.0;3594.0;3149.0;3195.0;3131.0;2952.0
Улан-Удэ;814;16639.0;18461.0;16059.0;17702.0;16612.0;15448.0;16398.0;15152.0;14015.0
Кызыл;934;4465.0;5407.0;5238.0;5365.0;4670.0;4451.0;4231.0;4645.0;4341.0
Абакан;954;6890.0;6903.0;7301.0;7689.0;7210.0;6723.0;7281.0;6826.0;6714.0
Барнаул;140;15410.0;15079.0;14527.0;15216.0;14710.0;10758.0;13575.0;11936.0;11821.0
Бийск;140;5793.0;5306.0;5216.0;5043.0;4539.0;3768.0;3867.0;3621.0;3503.0
Рубцовск;141;4515.0;4761.0;4734.0;5017.0;4473.0;3805.0;3775.0;3320.0;2937.0
Чита;764;8613.0;7766.0;8886.0;9601.0;8811.0;7919.0;7687.0;7462.0;6899.0
Красноярск;440;27543.0;29840.0;31591.0;32772.0;30636.0;28139.0;28204.0;28200.0;27344.0
Ачинск;440;2619.0;2783.0;2909.0;3110.0;3109.0;3117.0;3424.0;3329.0;3231.0
Норильск;442;12561.0;12780.0;12529.0;12775.0;11807.0;10789.0;10867.0;10523.0;10880.0
Иркутск;254;15582.0;16873.0;17360.0;17482.0;13520.0;9977.0;10135.0;10849.0;9477.0
Ангарск;254;;;4249.0;4148.0;3517.0;2974.0;3001.0;2963.0;2680.0
Братск;254;5741.0;5727.0;5707.0;5483.0;4581.0;3902.0;3860.0;3820.0;3553.0
Кемерово;324;11377.0;13094.0;12880.0;14446.0;13075.0;10916.0;10585.0;10016.0;8826.0
Новокузнецк;324;12157.0;12317.0;11521.0;12525.0;11578.0;9826.0;10508.0;9846.0;9626.0
Прокопьевск;324;4175.0;4214.0;4077.0;4349.0;3804.0;3657.0;4076.0;3722.0;3481.0
Новосибирск;504;31404.0;30015.0;32462.0;33959.0;28810.0;27329.0;28153.0;27812.0;25012.0
Бердск;504;1711.0;1549.0;1589.0;1776.0;1713.0;1499.0;1572.0;1556.0;1418.0
Омск;524;23465.0;24609.0;25590.0;26624.0;23905.0;19883.0;19750.0;17841.0;15715.0
Томск;694;17562.0;18372.0;20008.0;19824.0;18530.0;15786.0;14200.0;13151.0;11786.0
Якутск;984;9705.0;9948.0;11297.0;11200.0;10876.0;10087.0;11233.0;11361.0;10194.0
Петропавловск-Камчатский;304;6194.0;;;;;5006.0;5200.0;4856.0;4753.0
Владивосток;540;17692.0;17507.0;17799.0;19022.0;17797.0;16114.0;15780.0;15735.0;13826.0
Находка;541;3666.0;3545.0;3774.0;3856.0;3631.0;3175.0;3406.0;3077.0;2724.0
Уссурийск;542;6315.0;6080.0;6480.0;7171.0;6548.0;5718.0;6058.0;5967.0;5521.0
Хабаровск;840;21092.0;21089.0;21318.0;20356.0;19466.0;17028.0;17215.0;16916.0;15694.0
Комсомольск-на-Амуре;840;6465.0;6215.0;6050.0;6038.0;5404.0;4684.0;5141.0;4716.0;4748.0
