Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Владимирская область;17000000000;314610.0;312341.0;309894.0;307002.0;305341.0;304310.0;302018.0;298448.0;294928.0;292397.0
Воронежская область;20000000000;767040.0;762519.0;757543.0;750272.0;743563.0;737833.0;729817.0;722323.0;718168.0;714317.0
Ивановская область;24000000000;189192.0;186362.0;183166.0;179322.0;175647.0;172225.0;168598.0;165380.0;162989.0;160869.0
Калужская область;29000000000;246776.0;250818.0;254513.0;257199.0;259700.0;262161.0;265735.0;268605.0;269107.0;269651.0
Костромская область;34000000000;181140.0;176994.0;172360.0;167906.0;163553.0;159105.0;154130.0;149802.0;146281.0;142910.0
Курская область;38000000000;368565.0;365268.0;361738.0;356505.0;351256.0;347192.0;342655.0;338114.0;333829.0;328652.0
Липецкая область;42000000000;424115.0;426603.0;427232.0;425563.0;424567.0;423612.0;421710.0;418745.0;415752.0;412576.0
Московская область;46000000000;1566716.0;1604920.0;1643261.0;1687707.0;1735771.0;1777233.0;1816770.0;1851987.0;1884866.0;1921958.0
Орловская область;54000000000;255257.0;251828.0;248947.0;246035.0;243593.0;241303.0;238365.0;235259.0;232745.0;230680.0
Рязанская область;61000000000;328912.0;326628.0;324370.0;321264.0;318940.0;317568.0;315594.0;313132.0;310812.0;308087.0
Смоленская область;66000000000;261763.0;259234.0;257889.0;257154.0;255174.0;250954.0;245242.0;240652.0;237366.0;234553.0
Тамбовская область;68000000000;428505.0;422022.0;416266.0;409582.0;402988.0;397877.0;392428.0;386256.0;380368.0;375119.0
Тверская область;28000000000;322809.0;317606.0;312715.0;307072.0;301823.0;297086.0;292235.0;288293.0;285555.0;283126.0
Тульская область;70000000000;359303.0;366584.0;373364.0;379231.0;384670.0;390430.0;396448.0;398592.0;397173.0;395131.0
Ярославская область;78000000000;230097.0;230338.0;229363.0;229372.0;230003.0;229370.0;228653.0;227659.0;227249.0;227448.0
Город Москва столица Российской Федерации город федерального значения;45000000000;0.0;0.0;0.0;0.0;0.0;0.0;210069.0;0.0;0.0;0.0
Северо-Западный федеральный округ;031;2184992.0;2177387.0;2177596.0;2179694.0;2155320.0;2121033.0;2101522.0;2087676.0;2073860.0;2036263.0
Республика Карелия;86000000000;126325.0;123869.0;121490.0;118748.0;115961.0;113583.0;111008.0;108279.0;106042.0;104274.0
Республика Коми;87000000000;187080.0;183477.0;180056.0;176316.0;173051.0;170319.0;166909.0;163493.0;160790.0;158280.0
Архангельская область;11000000000;264293.0;258006.0;252731.0;247371.0;242231.0;237560.0;232067.0;226611.0;222093.0;217645.0
Ненецкий автономный округ (Архангельская область);11100000000;11874.0;11756.0;11638.0;11408.0;11179.0;10987.0;10789.0;10620.0;10597.0;10582.0
Архангельская область (кроме Ненецкого автономного округа);11001000000;252418.0;246249.0;241091.0;235964.0;231051.0;226572.0;221278.0;215992.0;211497.0;207063.0
Вологодская область;19000000000;334507.0;331510.0;328371.0;324419.0;321273.0;318877.0;315444.0;311794.0;308329.0;304795.0
Калининградская область;27000000000;224245.0;227101.0;229617.0;231371.0;233073.0;235088.0;237824.0;240516.0;242049.0;243170.0
Ленинградская область;41000000000;629462.0;638869.0;656622.0;680536.0;675942.0;657719.0;657691.0;662808.0;664372.0;641696.0
Мурманская область;47000000000;51798.0;51044.0;50355.0;49816.0;48955.0;47793.0;46593.0;45935.0;45821.0;45725.0
