Регион;Код;Местность;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Российская Федерация;643.0;городское население;109067848.0;109545624.0;109936308.0;110195876.0;110418623.0;110381302.0;110101575.0;109818979.0;109591251.0;109591251.0
Российская Федерация без учета новых субъектов (с 01.01.2023);643.0;городское население;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0;109661370.0
