Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Челябинская область;750;Женщины;Сельская местность;-51063.0;-51199.0;-47720.0;-43234.0;-44302.0;-40833.0;-38306.0
Сибирский федеральный округ;35;Женщины;Сельская местность;-349212.0;-349212.0;-349212.0;-349212.0;-349212.0;-349212.0;-349212.0
Сибирский федеральный округ (с 03.11.2018);41;Женщины;Сельская местность;-316885.0;-316885.0;-279103.0;-244207.0;-265635.0;-247646.0;-234311.0
Республика Алтай;840;Женщины;Сельская местность;-7233.0;-7796.0;-7014.0;-6168.0;-6326.0;-6438.0;-6008.0
Республика Тыва;930;Женщины;Сельская местность;-8022.0;-8245.0;-6726.0;-5424.0;-8020.0;-9286.0;-8164.0
Республика Хакасия;950;Женщины;Сельская местность;-13587.0;-13837.0;-11541.0;-11124.0;-12367.0;-11573.0;-11311.0
Алтайский край;100;Женщины;Сельская местность;-40443.0;-44829.0;-42932.0;-34990.0;-38601.0;-33400.0;-31934.0
Красноярский край;400;Женщины;Сельская местность;-63188.0;-65906.0;-58517.0;-54835.0;-62397.0;-59508.0;-57682.0
Иркутская область;250;Женщины;Сельская местность;-37593.0;-39279.0;-32680.0;-29064.0;-28758.0;-28130.0;-26765.0
Кемеровская область - Кузбасс;320;Женщины;Сельская местность;-43629.0;-44462.0;-37643.0;-32384.0;-33686.0;-30813.0;-28807.0
Новосибирская область;500;Женщины;Сельская местность;-32826.0;-35770.0;-33164.0;-30775.0;-33131.0;-30698.0;-28998.0
Омская область;520;Женщины;Сельская местность;-33059.0;-34645.0;-31126.0;-24977.0;-27510.0;-24763.0;-23404.0
Томская область;690;Женщины;Сельская местность;-21923.0;-22116.0;-17760.0;-14466.0;-14839.0;-13037.0;-11238.0
Дальневосточный федеральный округ;36;Женщины;Сельская местность;-136156.0;-136156.0;-136156.0;-136156.0;-136156.0;-136156.0;-136156.0
Дальневосточный федеральный округ (с 03.11.2018);42;Женщины;Сельская местность;-186776.0;-186776.0;-172963.0;-148351.0;-163357.0;-155291.0;-143577.0
Республика Бурятия;810;Женщины;Сельская местность;-25956.0;-26468.0;-25199.0;-21838.0;-24139.0;-22430.0;-21605.0
Забайкальский край;760;Женщины;Сельская местность;-21753.0;-22047.0;-21150.0;-17131.0;-18961.0;-17858.0;-16163.0
Республика Саха (Якутия);980;Женщины;Сельская местность;-25807.0;-25772.0;-23112.0;-18922.0;-25892.0;-23637.0;-23722.0
Камчатский край;300;Женщины;Сельская местность;-6262.0;-6777.0;-6030.0;-5510.0;-5655.0;-5347.0;-4947.0
Приморский край;500;Женщины;Сельская местность;-38942.0;-40866.0;-38112.0;-32524.0;-34341.0;-32383.0;-29446.0
Хабаровский край;800;Женщины;Сельская местность;-27053.0;-26351.0;-24906.0;-21782.0;-23584.0;-22426.0;-20767.0
Амурская область;100;Женщины;Сельская местность;-16340.0;-17195.0;-15376.0;-14393.0;-14025.0;-14972.0;-11840.0
Магаданская область;440;Женщины;Сельская местность;-4487.0;-4634.0;-4227.0;-3416.0;-3439.0;-3416.0;-2924.0
Сахалинская область;640;Женщины;Сельская местность;-10989.0;-11002.0;-9518.0;-8343.0;-8208.0;-7701.0;-7497.0
Еврейская автономная область;990;Женщины;Сельская местность;-3748.0;-3207.0;-2726.0;-2152.0;-2844.0;-2784.0;-2492.0
Чукотский автономный округ;770;Женщины;Сельская местность;-2528.0;-2457.0;-2607.0;-2340.0;-2269.0;-2337.0;-2174.0
Центральный федеральный округ;30;Мужчины;Городская местность;47350.0;42797.0;22119.0;1175.0;8788.0;28690.0;14781.0
Белгородская область;140;Мужчины;Городская местность;-953.0;-404.0;-197.0;476.0;53.0;-1950.0;-1122.0
Брянская область;150;Мужчины;Городская местность;-1007.0;-1303.0;-1565.0;-252.0;-116.0;-614.0;-473.0
Владимирская область;170;Мужчины;Городская местность;-1065.0;-1235.0;-1144.0;-1217.0;-1312.0;-1258.0;-1260.0
Воронежская область;200;Мужчины;Городская местность;456.0;880.0;-587.0;-814.0;668.0;-620.0;-351.0
Ивановская область;240;Мужчины;Городская местность;-526.0;-1028.0;-402.0;-388.0;-164.0;-303.0;-145.0
Калужская область;290;Мужчины;Городская местность;-822.0;-1183.0;-1220.0;765.0;1942.0;377.0;-49.0
Костромская область;340;Мужчины;Городская местность;-261.0;-783.0;100.0;432.0;182.0;-77.0;260.0
Курская область;380;Мужчины;Городская местность;-383.0;-162.0;410.0;390.0;-656.0;-1096.0;370.0
Липецкая область;420;Мужчины;Городская местность;-831.0;-846.0;-479.0;-597.0;-947.0;-1371.0;-1561.0
Московская область;460;Мужчины;Городская местность;21652.0;27706.0;20978.0;5146.0;18035.0;10686.0;8017.0
Орловская область;540;Мужчины;Городская местность;-1104.0;-1094.0;-1096.0;-896.0;-821.0;-1028.0;-609.0
Рязанская область;610;Мужчины;Городская местность;-187.0;219.0;-379.0;76.0;-298.0;-493.0;-148.0
Смоленская область;660;Мужчины;Городская местность;-1334.0;-1541.0;-1353.0;-600.0;-1181.0;-798.0;-155.0
Тамбовская область;680;Мужчины;Городская местность;-20.0;-391.0;-214.0;59.0;-427.0;-256.0;-24.0
Тверская область;280;Мужчины;Городская местность;-1728.0;-1224.0;-1089.0;-122.0;-818.0;-774.0;-637.0
Тульская область;700;Мужчины;Городская местность;-887.0;-1396.0;-593.0;-582.0;-495.0;-1031.0;-80.0
Ярославская область;780;Мужчины;Городская местность;22.0;600.0;-165.0;-1087.0;-1110.0;-588.0;-600.0
