Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;643;1408397.0;1517986.0;1517986.0;1583504.0;1473018.0;1302270.0;1313042.0;1282121.0;1277250.0
Российская Федерация;643;2706761.0;2947078.0;2947078.0;3067308.0;2838722.0;2476098.0;2551212.0;2436327.0;2390268.0
Российская Федерация;643;1236611.0;1347992.0;1347992.0;1393343.0;1306441.0;1138758.0;1150486.0;1113850.0;1094024.0
Российская Федерация;643;2338737.0;2555878.0;2555878.0;2647607.0;2478889.0;2136068.0;2204300.0;2098166.0;2033110.0
